customer_id,total_orders,average_order_value,total_spending,ordering_frequency,average_rating_given,weekend_orders,late_night_orders,customer_cluster,customer_segment,dbscan_cluster
CUST_00001,7.0,705.6614285714286,4939.63,1.4,4.0,1.0,2.0,0,Occasional Moderate-Value Customers,0
CUST_00002,10.0,959.3209999999999,9593.21,2.0,3.8,4.0,1.0,1,Frequent High-Value Customers,0
CUST_00003,5.0,649.778,3248.8900000000003,1.0,4.333333333333333,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00004,5.0,671.152,3355.76,1.0,3.75,2.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00005,7.0,693.5585714285714,4854.91,1.4,3.3333333333333335,1.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00006,6.0,709.7133333333333,4258.28,1.5,4.0,0.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00007,4.0,1919.3475,7677.39,1.0,4.0,1.0,0.0,0,Occasional Moderate-Value Customers,-1
CUST_00008,4.0,946.7425,3786.97,2.0,3.6666666666666665,0.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00009,7.0,1261.2857142857142,8829.0,1.75,4.0,2.0,0.0,1,Frequent High-Value Customers,0
CUST_00010,6.0,381.0183333333334,2286.11,1.5,4.0,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00011,3.0,308.77,926.31,1.0,3.6666666666666665,0.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00012,8.0,916.3725,7330.98,1.6,3.875,1.0,1.0,1,Frequent High-Value Customers,0
CUST_00013,7.0,1421.7014285714286,9951.91,1.75,4.25,2.0,3.0,1,Frequent High-Value Customers,-1
CUST_00014,3.0,561.1166666666667,1683.3500000000001,1.0,4.0,0.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00015,5.0,1522.6860000000001,7613.43,1.0,3.6666666666666665,0.0,0.0,0,Occasional Moderate-Value Customers,-1
CUST_00016,5.0,452.154,2260.77,1.6666666666666667,4.666666666666667,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00017,2.0,477.995,955.99,1.0,4.0,2.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00018,7.0,697.9,4885.3,1.4,3.5,2.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00019,4.0,1041.38,4165.52,1.3333333333333333,4.0,2.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00020,6.0,518.1666666666666,3109.0,1.5,4.666666666666667,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00021,5.0,523.37,2616.85,1.25,4.0,1.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00022,8.0,775.5762500000001,6204.610000000001,1.6,4.142857142857143,2.0,3.0,1,Frequent High-Value Customers,0
CUST_00023,5.0,1126.152,5630.76,1.25,4.25,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00024,2.0,301.5,603.0,1.0,4.0,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00025,11.0,880.1709090909092,9681.880000000001,1.8333333333333333,4.0,6.0,1.0,1,Frequent High-Value Customers,-1
CUST_00026,3.0,634.0766666666667,1902.23,1.5,5.0,0.0,2.0,0,Occasional Moderate-Value Customers,-1
CUST_00027,5.0,873.634,4368.17,1.6666666666666667,4.2,1.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00028,8.0,293.54375,2348.35,1.6,3.6,3.0,3.0,1,Frequent High-Value Customers,0
CUST_00029,10.0,848.809,8488.09,2.0,4.0,2.0,0.0,1,Frequent High-Value Customers,0
CUST_00030,4.0,365.2575,1461.03,1.3333333333333333,4.0,0.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00031,7.0,1352.3728571428571,9466.61,1.75,4.285714285714286,2.0,1.0,1,Frequent High-Value Customers,0
CUST_00032,5.0,686.1859999999999,3430.93,1.25,4.0,1.0,0.0,0,Occasional Moderate-Value Customers,0
CUST_00033,5.0,857.634,4288.17,1.0,3.75,1.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00034,4.0,228.8,915.2,1.0,4.5,2.0,1.0,0,Occasional Moderate-Value Customers,0
CUST_00035,11.0,624.8163636363637,6872.9800000000005,2.2,4.0,1.0,1.0,1,Frequent High-Value Customers,0
CUST_00036,4.0,292.1825,1168.73,1.3333333333333333,3.5,2.0,2.0,0,Occasional Moderate-Value Customers,-1
CUST_00037,10.0,534.0989999999999,5340.99,2.0,3.875,4.0,1.0,1,Frequent High-Value Customers,0
