driver_id,age,gender,vehicle_type,experience_years,driver_rating
DRV_0001,37,Male,Scooter,2.6,3.9
DRV_0002,39,Male,Scooter,5.0,4.1
DRV_0003,30,Male,Scooter,5.4,4.3
DRV_0004,36,Male,Bike,3.4,4.3
DRV_0005,46,Male,Scooter,7.5,3.7
DRV_0006,30,Female,Bike,6.4,4.2
DRV_0007,43,Male,Bike,20.8,3.9
DRV_0008,39,Female,Car,8.4,2.8
DRV_0009,31,Male,Scooter,9.3,5.0
DRV_0010,32,Male,Scooter,12.3,3.9
DRV_0011,34,Female,Scooter,3.5,3.9
DRV_0012,39,Male,Car,17.0,3.7
DRV_0013,36,Female,Scooter,13.6,3.8
DRV_0014,30,Male,Scooter,4.3,4.1
DRV_0015,21,Female,Bike,3.0,4.7
DRV_0016,38,Female,Bike,5.3,4.1
DRV_0017,21,Female,Bike,0.8,4.1
DRV_0018,23,Female,Bike,3.9,4.7
DRV_0019,30,Female,Scooter,5.2,4.0
DRV_0020,25,Male,Scooter,2.3,4.2
DRV_0021,35,Female,Car,3.0,3.8
DRV_0022,31,Female,Scooter,9.9,4.9
DRV_0023,38,Male,Scooter,15.7,4.6
DRV_0024,22,Male,Bike,2.3,4.1
DRV_0025,28,Female,Bike,9.6,4.0
DRV_0026,33,Male,Bike,4.8,4.2
DRV_0027,33,Male,Scooter,3.3,4.1
DRV_0028,38,Female,Bike,13.5,3.6
DRV_0029,27,Male,Scooter,6.8,4.6
DRV_0030,30,Male,Scooter,2.7,4.1
DRV_0031,37,Female,Bike,1.5,5.0
DRV_0032,21,Male,Bike,2.4,4.4
DRV_0033,36,Female,Scooter,17.6,3.2
DRV_0034,38,Male,Bike,12.9,3.7
DRV_0035,24,Male,Scooter,1.7,3.3
DRV_0036,31,Male,Scooter,13.0,3.7
DRV_0037,43,Female,Scooter,22.3,3.5
DRV_0038,38,Male,Scooter,10.3,4.3
DRV_0039,36,Male,Scooter,14.9,4.1
DRV_0040,40,Male,Car,17.9,4.5
DRV_0041,46,Male,Bike,26.2,4.2
DRV_0042,33,Male,Scooter,12.6,4.1
DRV_0043,30,Male,Bike,7.7,5.0
DRV_0044,40,Female,Bike,13.4,4.3
DRV_0045,32,Male,Bike,6.5,4.2
DRV_0046,27,Female,Scooter,5.6,3.9
DRV_0047,29,Female,Bike,8.7,3.7
DRV_0048,35,Male,Bike,16.5,4.5
DRV_0049,30,Male,Car,5.6,4.5
DRV_0050,30,Female,Scooter,6.9,4.8
DRV_0051,26,Female,Scooter,3.6,4.4
DRV_0052,43,Male,Scooter,16.7,4.0
DRV_0053,31,Female,Car,8.2,4.4
DRV_0054,28,Male,Scooter,0.2,4.2
DRV_0055,29,Male,Bike,6.0,4.5
DRV_0056,39,Male,Scooter,1.9,4.7
DRV_0057,37,Female,Scooter,0.5,4.1
DRV_0058,29,Female,Bike,8.7,4.9
DRV_0059,33,Female,Bike,3.9,4.7
DRV_0060,35,Male,Bike,5.8,4.2
DRV_0061,28,Female,Car,0.6,4.5
DRV_0062,22,Male,Bike,0.7,4.3
DRV_0063,37,Female,Car,14.5,4.2
DRV_0064,28,Male,Car,4.9,5.0
DRV_0065,36,Male,Scooter,15.9,4.4
DRV_0066,35,Male,Scooter,6.8,3.9
DRV_0067,33,Female,Bike,4.0,3.8
DRV_0068,30,Male,Bike,4.2,3.8
DRV_0069,29,Male,Bike,7.8,4.4
DRV_0070,25,Male,Scooter,3.9,4.1
DRV_0071,29,Female,Bike,9.9,4.3
DRV_0072,37,Female,Bike,11.4,4.6
DRV_0073,43,Female,Bike,12.3,5.0
DRV_0074,42,Male,Car,18.9,4.1
DRV_0075,34,Male,Bike,15.2,3.6
DRV_0076,43,Female,Car,8.9,4.9
DRV_0077,31,Male,Bike,3.2,3.6
DRV_0078,24,Male,Scooter,3.7,3.6
