order_id,customer_id,restaurant_id,order_timestamp,order_status,order_amount,tip_amount,items_count,payment_method,weather,traffic_condition
ORD_000001,CUST_01488,REST_0096,2025-02-16 18:06:14,Delivered,423.9,23.33,2,UPI,Rain,Medium
ORD_000002,CUST_00137,REST_0120,2025-04-04 11:23:54,Delivered,82.53,9.3,1,UPI,Clear,High
ORD_000003,CUST_00193,REST_0142,2025-06-02 18:35:49,Delivered,544.4,81.65,6,Credit Card,Rain,Medium
ORD_000004,CUST_01240,REST_0154,2025-05-22 12:52:49,Delivered,1873.11,93.99,4,Wallet,Clear,Low
ORD_000005,CUST_01300,REST_0170,2025-02-05 12:33:20,Delivered,1137.79,249.06,5,Debit Card,Clear,Medium
ORD_000006,CUST_00671,REST_0156,2025-02-07 14:14:11,Delivered,586.92,161.82,4,Credit Card,Rain,High
ORD_000007,CUST_01075,REST_0102,2025-06-27 20:36:10,Cancelled,198.13,0.0,2,UPI,Rain,Medium
ORD_000008,CUST_01304,REST_0005,2025-04-30 08:53:00,Cancelled,192.96,0.0,3,Wallet,Clear,Medium
ORD_000009,CUST_00066,REST_0096,2025-06-17 18:25:57,Delivered,339.6,55.95,2,UPI,Clear,Medium
ORD_000010,CUST_00865,REST_0074,2025-06-20 07:55:42,Delivered,731.67,28.31,2,UPI,Clear,High
ORD_000011,CUST_01282,REST_0162,2025-05-23 22:13:32,Delivered,1753.93,30.39,4,UPI,Clear,Low
ORD_000012,CUST_00595,REST_0044,2025-01-07 07:01:49,Delivered,350.09,124.28,3,UPI,Clear,Medium
ORD_000013,CUST_00455,REST_0146,2025-04-03 12:51:26,Delivered,566.16,68.03,3,UPI,Clear,High
ORD_000014,CUST_01194,REST_0016,2025-01-12 19:13:09,Delivered,834.12,158.78,6,Credit Card,Clear,Low
ORD_000015,CUST_00504,REST_0182,2025-01-23 11:57:30,Delivered,889.78,144.97,3,Debit Card,Heavy Rain,High
ORD_000016,CUST_00005,REST_0165,2025-02-21 18:18:18,Delivered,111.62,19.64,2,UPI,Rain,High
