restaurant_id,restaurant_name,city,cuisine,restaurant_category,restaurant_rating,average_price
REST_0001,"Choudhury, Bakshi and Maharaj Kitchen",Delhi,Cafe,Budget,3.5,178.15
REST_0002,Kapoor and Sons Kitchen,Jaipur,Bakery,Premium,4.2,1438.97
REST_0003,"Chaudry, Chahal and Sami Kitchen",Bengaluru,North Indian,Mid-range,3.5,390.14
REST_0004,Balan Inc Kitchen,Chennai,South Indian,Mid-range,3.6,524.11
REST_0005,Kaul PLC Kitchen,Delhi,Fast Food,Budget,3.8,144.66
REST_0006,"Bala, Issac and Saini Kitchen",Kochi,North Indian,Budget,4.3,243.64
REST_0007,Sen PLC Kitchen,Bengaluru,North Indian,Premium,3.8,1513.3
REST_0008,Ahuja-Dutta Kitchen,Bengaluru,South Indian,Mid-range,3.6,505.18
REST_0009,"Sami, Oak and Mall Kitchen",Bengaluru,Italian,Premium,4.3,1159.86
REST_0010,Kale LLC Kitchen,Bengaluru,Mexican,Budget,4.8,293.0
REST_0011,Chanda Group Kitchen,Ahmedabad,North Indian,Budget,4.4,232.93
REST_0012,Parmer LLC Kitchen,Pune,South Indian,Premium,4.9,859.55
REST_0013,"Lalla, Bassi and Sharaf Kitchen",Delhi,Italian,Mid-range,4.7,388.18
REST_0014,"Dash, Radhakrishnan and Brar Kitchen",Mumbai,Fast Food,Budget,3.9,246.96
REST_0015,"Memon, Pathak and Handa Kitchen",Pune,North Indian,Budget,4.4,252.38
REST_0016,"Boase, Bath and Kari Kitchen",Bengaluru,Chinese,Mid-range,4.1,392.29
REST_0017,Buch-Kaul Kitchen,Hyderabad,Cafe,Mid-range,4.6,407.78
REST_0018,Rai LLC Kitchen,Mumbai,Bakery,Mid-range,4.1,646.69
REST_0019,Patla-Gaba Kitchen,Bengaluru,Bakery,Budget,3.7,138.35
REST_0020,Pant-Kadakia Kitchen,Hyderabad,Cafe,Budget,4.7,192.84
REST_0021,"Loke, Bora and Garg Kitchen",Hyderabad,Chinese,Premium,4.2,662.45
REST_0022,"Konda, Gade and Shere Kitchen",Bengaluru,Fast Food,Budget,3.8,267.79
REST_0023,Madan-Kanda Kitchen,Bengaluru,Chinese,Mid-range,3.9,314.17
REST_0024,"Nair, Bhalla and Karnik Kitchen",Pune,Fast Food,Mid-range,3.8,529.38
REST_0025,Mutti Group Kitchen,Bengaluru,South Indian,Budget,3.6,130.17
REST_0026,Bhatti-Kakar Kitchen,Jaipur,Fast Food,Mid-range,3.9,528.96
REST_0027,"Murty, Kala and Tata Kitchen",Bengaluru,Italian,Mid-range,4.3,591.92
REST_0028,Shanker-Dhar Kitchen,Kolkata,North Indian,Mid-range,4.1,427.56
REST_0029,Dewan-Koshy Kitchen,Ahmedabad,Biryani,Mid-range,3.9,473.19
REST_0030,"Yohannan, Lall and Sangha Kitchen",Jaipur,North Indian,Budget,4.8,192.28
REST_0031,"Rastogi, Pathak and Kanda Kitchen",Ahmedabad,South Indian,Mid-range,3.2,391.18
REST_0032,Upadhyay Group Kitchen,Chennai,North Indian,Mid-range,4.2,577.21
REST_0033,Batta Inc Kitchen,Hyderabad,Chinese,Mid-range,4.0,380.64
REST_0034,Dutta Ltd Kitchen,Hyderabad,North Indian,Budget,3.7,250.13
REST_0035,Bhatt-Rajan Kitchen,Bengaluru,Cafe,Mid-range,4.3,356.29
REST_0036,Sidhu-Wadhwa Kitchen,Bengaluru,Chinese,Premium,4.0,849.85
REST_0037,Apte-Contractor Kitchen,Ahmedabad,Italian,Mid-range,4.7,404.49
