delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_min,estimated_delivery_time_min,actual_delivery_time_min
DEL_000001,ORD_000001,DRV_0041,4.26,16.7,39.4,43.0
DEL_000002,ORD_000002,DRV_0084,0.91,20.6,20.4,23.6
DEL_000003,ORD_000003,DRV_0139,10.6,19.5,58.8,68.2
DEL_000004,ORD_000004,DRV_0222,7.79,26.6,49.0,53.1
DEL_000005,ORD_000005,DRV_0206,6.73,18.3,38.4,43.0
DEL_000006,ORD_000006,DRV_0231,1.64,23.8,32.0,27.8
DEL_000007,ORD_000009,DRV_0131,7.9,12.0,33.5,31.1
DEL_000008,ORD_000010,DRV_0183,4.81,25.0,48.9,55.5
DEL_000009,ORD_000011,DRV_0245,3.61,20.2,39.1,36.1
DEL_000010,ORD_000012,DRV_0235,2.49,12.8,31.8,28.9
DEL_000011,ORD_000013,DRV_0257,6.75,18.4,50.0,47.1
DEL_000012,ORD_000014,DRV_0223,11.88,24.4,75.0,71.0
DEL_000013,ORD_000015,DRV_0075,1.38,17.0,22.1,26.1
DEL_000014,ORD_000016,DRV_0210,4.15,29.4,54.3,49.7
DEL_000015,ORD_000017,DRV_0258,8.77,23.8,55.2,57.1
DEL_000016,ORD_000020,DRV_0297,5.05,20.4,39.0,41.1
DEL_000017,ORD_000022,DRV_0224,6.87,32.0,50.0,49.9
DEL_000018,ORD_000023,DRV_0039,2.99,21.3,42.6,40.3
DEL_000019,ORD_000025,DRV_0117,4.08,20.7,45.6,40.2
DEL_000020,ORD_000026,DRV_0286,8.95,23.6,66.2,65.7
DEL_000021,ORD_000027,DRV_0149,3.03,23.9,38.4,40.3
DEL_000022,ORD_000028,DRV_0077,9.46,23.1,63.0,55.4
DEL_000023,ORD_000029,DRV_0032,3.84,24.1,37.7,40.4
DEL_000024,ORD_000030,DRV_0016,4.34,25.9,43.2,49.3
DEL_000025,ORD_000031,DRV_0149,3.02,22.7,47.7,46.9
DEL_000026,ORD_000032,DRV_0163,3.73,18.0,32.9,31.3
DEL_000027,ORD_000033,DRV_0052,1.32,26.0,34.5,32.0
DEL_000028,ORD_000034,DRV_0112,2.39,27.4,35.7,35.8
DEL_000029,ORD_000036,DRV_0216,5.42,10.3,32.3,30.2
DEL_000030,ORD_000037,DRV_0056,5.46,16.5,36.1,34.2
DEL_000031,ORD_000038,DRV_0279,8.05,20.0,55.5,54.9
DEL_000032,ORD_000039,DRV_0179,5.07,6.4,24.6,27.4
DEL_000033,ORD_000040,DRV_0140,6.83,18.9,43.1,46.6
DEL_000034,ORD_000041,DRV_0177,1.06,29.4,36.6,37.5
DEL_000035,ORD_000042,DRV_0044,3.69,26.1,34.2,31.3
DEL_000036,ORD_000043,DRV_0242,2.5,34.1,37.9,41.8
DEL_000037,ORD_000044,DRV_0228,0.82,20.9,29.0,27.3
DEL_000038,ORD_000045,DRV_0245,8.92,8.0,42.8,49.7
DEL_000039,ORD_000046,DRV_0250,3.66,10.8,29.2,28.7
DEL_000040,ORD_000047,DRV_0078,7.16,17.9,41.0,44.0
