payment_id,order_id,payment_method,payment_status,transaction_amount
PAY_000001,ORD_000001,UPI,Successful,423.9
PAY_000002,ORD_000002,UPI,Successful,82.53
PAY_000003,ORD_000003,Credit Card,Successful,544.4
PAY_000004,ORD_000004,Wallet,Successful,1873.11
PAY_000005,ORD_000005,Debit Card,Successful,1137.79
PAY_000006,ORD_000006,Credit Card,Successful,586.92
PAY_000007,ORD_000007,UPI,Successful,198.13
PAY_000008,ORD_000008,Wallet,Refunded,192.96
PAY_000009,ORD_000009,UPI,Successful,339.6
PAY_000010,ORD_000010,UPI,Successful,731.67
PAY_000011,ORD_000011,UPI,Successful,1753.93
PAY_000012,ORD_000012,UPI,Successful,350.09
PAY_000013,ORD_000013,UPI,Successful,566.16
PAY_000014,ORD_000014,Credit Card,Successful,834.12
PAY_000015,ORD_000015,Debit Card,Successful,889.78
PAY_000016,ORD_000016,UPI,Successful,111.62
PAY_000017,ORD_000017,UPI,Successful,230.12
PAY_000018,ORD_000018,Wallet,Successful,3324.25
PAY_000019,ORD_000019,UPI,Refunded,430.42
PAY_000020,ORD_000020,UPI,Successful,215.02
PAY_000021,ORD_000021,UPI,Successful,312.32
PAY_000022,ORD_000022,UPI,Successful,377.18
PAY_000023,ORD_000023,UPI,Successful,324.29
PAY_000024,ORD_000024,UPI,Successful,466.04
PAY_000025,ORD_000025,UPI,Successful,102.02
PAY_000026,ORD_000026,UPI,Successful,138.5
PAY_000027,ORD_000027,UPI,Successful,574.02
PAY_000028,ORD_000028,UPI,Successful,563.57
PAY_000029,ORD_000029,UPI,Successful,485.76
PAY_000030,ORD_000030,UPI,Successful,1024.06
PAY_000031,ORD_000031,UPI,Successful,566.3
PAY_000032,ORD_000032,UPI,Successful,302.01
PAY_000033,ORD_000033,Credit Card,Successful,378.06
PAY_000034,ORD_000034,UPI,Successful,174.37
PAY_000035,ORD_000035,Wallet,Refunded,572.16
PAY_000036,ORD_000036,Credit Card,Successful,621.87
PAY_000037,ORD_000037,UPI,Successful,516.68
PAY_000038,ORD_000038,UPI,Successful,315.86
PAY_000039,ORD_000039,UPI,Successful,4423.65
PAY_000040,ORD_000040,UPI,Successful,958.25
PAY_000041,ORD_000041,UPI,Successful,83.52
PAY_000042,ORD_000042,UPI,Successful,349.65
PAY_000043,ORD_000043,UPI,Successful,3092.6
PAY_000044,ORD_000044,UPI,Successful,472.13
PAY_000045,ORD_000045,UPI,Successful,736.14
PAY_000046,ORD_000046,Debit Card,Successful,341.05
PAY_000047,ORD_000047,Wallet,Successful,1073.13
PAY_000048,ORD_000048,Credit Card,Successful,80.0
PAY_000049,ORD_000049,Debit Card,Successful,4033.29
PAY_000050,ORD_000050,UPI,Successful,1536.09
PAY_000051,ORD_000051,UPI,Successful,529.03
PAY_000052,ORD_000052,UPI,Successful,2024.63
PAY_000053,ORD_000053,UPI,Successful,445.11
PAY_000054,ORD_000054,UPI,Successful,2342.9
PAY_000055,ORD_000055,UPI,Successful,484.14
PAY_000056,ORD_000056,UPI,Successful,98.41
PAY_000057,ORD_000057,UPI,Successful,528.7
PAY_000058,ORD_000058,UPI,Successful,2681.27
PAY_000059,ORD_000059,Cash,Successful,142.62
PAY_000060,ORD_000060,UPI,Successful,2834.39
PAY_000061,ORD_000061,UPI,Successful,637.95
PAY_000062,ORD_000062,Cash,Successful,168.12
PAY_000063,ORD_000063,UPI,Failed,392.35
PAY_000064,ORD_000064,Debit Card,Successful,497.34
PAY_000065,ORD_000065,UPI,Successful,546.34
PAY_000066,ORD_000066,UPI,Successful,2148.59
PAY_000067,ORD_000067,Debit Card,Successful,1241.81
PAY_000068,ORD_000068,Credit Card,Successful,104.14
PAY_000069,ORD_000069,UPI,Successful,4579.74
PAY_000070,ORD_000070,UPI,Successful,80.0
PAY_000071,ORD_000071,Cash,Successful,842.52
PAY_000072,ORD_000072,UPI,Successful,801.83
PAY_000073,ORD_000073,UPI,Successful,941.29
